Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,302.0,25.0,24.0,0.0,0,0.0,302.0,25.0,24.0,0.0,3.0,0.0
0.9999999999999956,0.04001348990055473,301.10923813029177,25.454470341687873,25.98314330918344,1.278739884989236,0,37.02956835749784,280.44,36.0,72.0,60.0,3.0,0
1.9999999999999911,0.0770852439985281,300.21847626058354,25.908940683375747,27.96628661836688,3.590339659095235,0,71.52321226789324,246.0,55.0,48.0,60.0,3.0,0
2.9999999999999867,0.11161818461084592,299.3277143908753,26.36341102506362,29.94942992755032,6.7432236267611625,0,103.8060085769706,234.0,60.0,60.0,60.0,3.0,0
3.9999999999999822,0.1439377589253748,298.4369525211671,26.817881366751493,31.93257323673376,10.586097115219115,0,134.14429237969748,215.0,67.0,24.0,60.0,30.0,0
4.999999999999978,0.17431060545793473,297.54619065145886,27.272351708439366,33.9157165459172,14.998054342083794,0,162.7590059013445,177.0,77.0,24.0,60.0,3.0,0
5.999999999999973,0.20295791814106134,296.65542878175063,27.72682205012724,35.89885985510064,19.61921689855933,0,179.64110838933988,160.0,80.0,84.0,60.0,35.0,0
6.999999999999969,0.23006521830200583,295.7646669120424,28.181292391815113,37.88200316428408,24.016072951125306,0,179.64110838933988,130.0,80.0,84.0,135.0,3.0,0
7.9999999999999645,0.2557896340435297,294.8739050423342,28.635762733502986,39.86514647346752,28.209389697784268,0,179.64110838933988,95.0,80.0,60.0,135.0,30.0,0
8.999999999999961,0.2802654129562081,293.98314317262594,29.09023307519086,41.84828978265096,32.217177872754014,0,179.64110838933988,55.0,65.0,24.0,135.0,20.0,0
9.999999999999957,0.3036081588580576,293.0923813029177,29.544703416878733,43.8314330918344,36.05515890413287,0,179.64110838933988,30.18,52.56,12.0,135.0,3.0,0
10.999999999999954,0.325918131285324,292.2016194332095,29.999173758566606,45.81457640101784,39.73713712853828,0,179.64110838933988,,,,,,
11.99999999999995,0.3472828459978424,291.31085756350126,30.45364410025448,47.79771971020128,43.27529931325255,0,179.64110838933988,,,,,,
12.999999999999947,0.36777914696936276,290.42009569379303,30.908114441942352,49.78086301938472,46.42556939489651,0,166.1943189601838,,,,,,
13.999999999999943,0.3874748737238757,289.5293338240848,31.362584783630226,51.76400632856816,49.1158139625463,0,147.26054759682236,,,,,,
14.99999999999994,0.40643021528641543,288.6385719543766,31.8170551253181,53.7471496377516,51.3902937182051,0,129.0127327393925,,,,,,
15.999999999999936,0.4246988188706916,287.74781008466834,32.27152546700597,55.73029294693504,53.28796672294894,0,111.40290875542834,,,,,,
