Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,260.0,103.0,24.0,115.0,0,0.0,260.0,103.0,24.0,115.0,3.0,0.0
1.0000000000000013,0.03993980837114657,259.0899371299808,102.58552976872589,26.0753529264514,115.0,0,0.0,240.48,94.11,84.0,115.0,3.0,0.0
2.0000000000000027,0.07682244459846306,258.1798742599616,102.17105953745178,28.150705852902803,115.0,0,0.0,191.29,70.74,60.0,115.0,20.0,0.0
3.000000000000004,0.1110826509082672,257.2698113899424,101.75658930617767,30.226058779354204,115.0,0,0.0,171.0,79.0,24.0,115.0,3.0,0.0
4.000000000000005,0.14306859219905843,256.3597485199232,101.34211907490356,32.301411705805606,115.0,0,0.0,118.74,108.0,24.0,115.0,20.0,0.0
5.000000000000007,0.17306341374096557,255.44968564990398,100.92764884362946,34.37676463225701,115.0,0,0.0,91.0,89.0,60.0,120.0,3.0,0.0
6.000000000000009,0.20130048226631234,254.53962277988478,100.51317861235535,36.45211755870841,115.0,0,-0.0,53.2,53.35,24.0,135.0,3.0,0
7.000000000000011,0.2279744084931391,253.62955990986558,100.09870838108124,38.52747048515981,115.0,0,-0.0,,,,,,
8.000000000000012,0.2532491787677079,252.71949703984637,99.68423814980713,40.60282341161121,115.0,0,-0.0,,,,,,
9.000000000000014,0.27726426031105644,251.80943416982717,99.26976791853302,42.67817633806261,115.0,0,-0.0,,,,,,
10.000000000000016,0.3001392572725828,250.89937129980797,98.85529768725891,44.753529264514015,115.0,0,-0.0,,,,,,
11.000000000000018,0.3219775116733446,249.98930842978876,98.4408274559848,46.828882190965416,115.0,0,0.0,,,,,,
12.00000000000002,0.34286892371790867,249.07924555976956,98.0263572247107,48.90423511741682,115.0,0,0.0,,,,,,
13.000000000000021,0.3628921861111648,248.16918268975036,97.61188699343658,50.97958804386822,115.0,0,0.0,,,,,,
14.000000000000023,0.382116572658128,247.25911981973115,97.19741676216248,53.05494097031962,115.0,0,0.0,,,,,,
15.000000000000025,0.40060338375076066,246.34905694971195,96.78294653088837,55.13029389677102,115.0,0,0.0,,,,,,
16.000000000000025,0.41840712480799863,245.43899407969275,96.36847629961426,57.20564682322242,115.0,0,0.0,,,,,,
17.000000000000025,0.43557647476218775,244.52893120967354,95.95400606834015,59.280999749673825,115.0,0,0.0,,,,,,
18.000000000000025,0.45215508793450643,243.61886833965434,95.53953583706604,61.356352676125226,115.0,0,0.0,,,,,,
19.000000000000025,0.46818226255031137,242.70880546963514,95.12506560579193,63.43170560257663,115.0,0,0.0,,,,,,
20.000000000000025,0.4836935016526084,241.79874259961593,94.71059537451782,65.50705852902803,115.0,0,0.0,,,,,,
21.000000000000025,0.498720986548542,240.88867972959673,94.29612514324371,67.58241145547943,115.0,0,0.0,,,,,,
21.449067578801657,0.5053688282749027,240.48,94.11,67.51935458715738,115.0,0,0.0,,,,,,
22.44906757880166,0.5201948128932953,239.57675630164212,93.6808720221463,67.37893726179551,115.0,0,0.0,,,,,,
23.44906757880166,0.53505172700849,238.67351260328425,93.25174404429261,67.23851993643365,115.0,0,0.0,,,,,,
